call_letters,station_name,frequency,format,market_city,market_state,market_rank,owner,address,phone_main,phone_direct,phone_studio,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes,verified_date,source
KAYO,,100.9 FM,,Wasilla,AK,178,Alpha Media,"180 Post Road East, Suite 201, Westport, CT",2032271978,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=165988 cbsa_match=Anchorage, AK → Nielsen #178 licensee=ALPHA MEDIA LICENSEE LLC fcc_applicant_email=dbevins@conncos.com",,FCC LMS 2026-04-23
KBBI,,890 AM,,Homer,AK,,Kachemak BAY Broadcasting INC,"3913 KACHEMAK WAY, HOMER, AK",9072357721,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=33256 fcc_applicant_email=josh@kbbi.org,,FCC LMS 2026-04-23
KBBO-FM,,92.1 FM,,Houston,AK,178,Ubik Corporation,"3700 WOODLAND DRIVE, SUITE 700, ANCHORAGE, AK",,,,,,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=68694 cbsa_match=Anchorage, AK → Nielsen #178",,FCC LMS 2026-04-23
KBFX,,100.5 FM,,Anchorage,AK,178,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=12962 metro=Anchorage licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KBKO,,88.3 FM,,Kodiak,AK,,"Sacred Heart Radio, Inc","Post Office Box 2482, Kirkland, WA",8009491050,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=177368 fcc_applicant_email=info@sacredheartradio.org,,FCC LMS 2026-04-23
KBOU,,95.9 FM,,Tok,AK,,Our Fathers World Radio,"314 Hartsock Way, Tok, AK",9075050770,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=775256 fcc_applicant_email=hartsockhomestead@gmail.com,,FCC LMS 2026-04-23
KBRJ,,104.1 FM,,Anchorage,AK,178,Alpha Media,"180 Post Road East, Suite 201, Westport, CT",2032271978,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,FCC svc=FM fac_id=60915 metro=Anchorage licensee=Alpha Media Licensee LLC fcc_applicant_email=dbevins@conncos.com,,FCC LMS 2026-04-23
KBRW,,680 AM,,Barrow,AK,,"Silakkuagvik Communications, INC","BARROW, AK",9078526811,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=60375 fcc_applicant_email=jeff.seifert@kbrw.org,,FCC LMS 2026-04-23
KBRW-FM,,91.9 FM,,Barrow,AK,,"Silakkuagvik Communications, INC","Barrow, AK",9078526811,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=60382 fcc_applicant_email=jeff.seifert@kbrw.org,,FCC LMS 2026-04-23
KBUQ,,91.9 FM,,Buckland,AK,,"Kotzebue Broadcasting, INC","KOTZEBUE, AK",9074423434,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=180899 fcc_applicant_email=gm@kotz.org,,FCC LMS 2026-04-23
KBYR,,700 AM,,Anchorage,AK,178,OMG FCC Licenses LLC,"P.O. BOX 99827, SEATTLE, WA",4258911200,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=49612 metro=Anchorage fcc_applicant_email=TRILA.BUMSTEAD@OHANAMEDIAGROUP.COM,,FCC LMS 2026-04-23
KCAM,,790 AM,Religious/Christian,Glennallen,AK,,JOY Media Ministries,"PO BOX 249, GLENNALLEN, AK",9856290777,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=AM fac_id=49563 fcc_applicant_email=rgthannum@unwsp.edu,,FCC LMS 2026-04-23
KCAM-FM,,88.7 FM,Religious/Christian,Glennallen,AK,,JOY Media Ministries,"PO BOX 249, GLENNALLEN, AK",9856290777,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=173007 fcc_applicant_email=rgthannum@unwsp.edu,,FCC LMS 2026-04-23
KCAW,,104.7 FM,,Sitka,AK,,"Raven Radio Foundation, INC","2 Lincoln St., Suite B, Sitka, AK",9077475877,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=55213 fcc_applicant_email=mariana@kcaw.org,,FCC LMS 2026-04-23
KCBF,,820 AM,,Fairbanks,AK,,"THE Great Alaska Electric Radio Company, INC","630 WEST FOURTH AVENUE, SUITE 300, ANCHORAGE, AK",,,,,,,,,,AT,,,,UNVERIFIED,"FCC svc=AM fac_id=49645 cbsa=Fairbanks-College, AK",,FCC LMS 2026-04-23
KCBR,,90.7 FM,Religious/Christian,Fairbanks,AK,,"Christian Broadcasting, Inc","6401 E. Northern Lights, Suite 201, Anchorage, AK",9077270409,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=765200 cbsa=Fairbanks-College, AK fcc_applicant_email=tom@cbimediagroup.com",,FCC LMS 2026-04-23
KCDV,,100.9 FM,,Cordova,AK,,"Bayview Communications, INC","HALEY BADER & POTTS, 4350 N. FAIRFAX DR,, ARLINGTON, VA",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=56492,,FCC LMS 2026-04-23
KCEF,,93.3 FM,,Chefornak,AK,,"Bethel Broadcasting, Inc","Bethel, AK",9075433131,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=758546 fcc_applicant_email=shane@kyuk.org,,FCC LMS 2026-04-23
KCGV,,93.3 FM,Religious/Christian,Palmer,AK,178,"Voice FOR Christ Ministries, INC","NENANA, AK",9078325426,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=761557 cbsa_match=Anchorage, AK → Nielsen #178 fcc_applicant_email=mike@vfcm.org",,FCC LMS 2026-04-23
KCHU-FM,,91.3 FM,,Valdez,AK,,"Terminal Radio, Inc","Valdez, AK",9078354665,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=764670 fcc_applicant_email=operations@kchu.org,,FCC LMS 2026-04-23
KCUK,,88.1 FM,College/Educational,Chevak,AK,,Kashunamiut School District,"985 KSD Way, Chevak, AK",2767332608,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=33453 fcc_applicant_email=wgregg@chevakschool.org,,FCC LMS 2026-04-23
KDJF,,93.5 FM,,Ester,AK,,"TOR Ingstad Licenses, LLC","PO BOX 16683, MINNEAPOLIS, MN",9529134017,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=164233 cbsa=Fairbanks-College, AK fcc_applicant_email=toringstad@gmail.com",,FCC LMS 2026-04-23
KDLG,,670 AM,College/Educational,Dillingham,AK,,Dillingham City School District,"DILLINGHAM, AK",9078425281,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=AM fac_id=16932 fcc_applicant_email=sam@kdlg.org,,FCC LMS 2026-04-23
KDLG-FM,,89.9 FM,College/Educational,Dillingham,AK,,Dillingham City School District,"DILLINGHAM, AK",9078425281,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=171933 fcc_applicant_email=sam@kdlg.org,,FCC LMS 2026-04-23
KDLL,,91.9 FM,,Kenai,AK,,"Pickle Hill Public Broadcasting, INC","PO BOX 2111, KENAI, AK",9075131996,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=52538 fcc_applicant_email=info@kdll.org,,FCC LMS 2026-04-23
KDRG,,91.9 FM,,Deering,AK,,"Kotzebue Broadcasting, INC","KOTZEBUE, AK",9074423434,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=180900 fcc_applicant_email=gm@kotz.org,,FCC LMS 2026-04-23
KEAG,,97.3 FM,,Anchorage,AK,178,Alpha Media,"180 Post Road East, Suite 201, Westport, CT",2032271978,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,FCC svc=FM fac_id=28648 metro=Anchorage licensee=Alpha Media Licensee LLC fcc_applicant_email=dbevins@conncos.com,,FCC LMS 2026-04-23
KEDI,,98.3 FM,,Bethel,AK,,Strait Media LLC,"2500 DOUGLAS DRIVE, ANCHORAGE, AK",9072481028,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=189526 fcc_applicant_email=AKSTEVESTRAIT@GMAIL.COM,,FCC LMS 2026-04-23
KENI,,650 AM,,Anchorage,AK,178,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=AM fac_id=12516 metro=Anchorage licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KEUL,,88.9 FM,,Girdwood,AK,,"Girdwood Community Club, INC","P O BOX 29, GIRDWOOD, AK",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=90379,,FCC LMS 2026-04-23
KFAQ,,97.7 FM,,Wasilla,AK,178,Matsu Hope Radio,"2102 North Lucille Street, Wasilla, AK",9073462014,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=777952 cbsa_match=Anchorage, AK → Nielsen #178 fcc_applicant_email=awoehler@woehler.us",,FCC LMS 2026-04-23
KFAR,,660 AM,,Fairbanks,AK,,"Borealis Broadcasting, INC","1060 ASPEN STREET, FAIRBANKS, AK",,,,,,,,,,AT,,,,UNVERIFIED,"FCC svc=AM fac_id=6438 cbsa=Fairbanks-College, AK",,FCC LMS 2026-04-23
KFAT,,92.9 FM,,Anchorage,AK,178,"A.a. Radio Partnership, A Limited Partnership","C/O AMER. RADIO BROKERS, 1255 POST ST., STE. 1011, SAN FRANCISCO, CA",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=221 metro=Anchorage,,FCC LMS 2026-04-23
KFBX,,970 AM,,Fairbanks,AK,,iHeartMedia,"7136 S. Yale Ave., Suite 501, Tulsa, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=AM fac_id=12518 cbsa=Fairbanks-College, AK licensee=iHM Licenses, LLC fcc_applicant_email=FCCcontact@iHeartmedia.com",,FCC LMS 2026-04-23
KFMJ,,99.9 FM,,Ketchikan,AK,,Kfmj Radio LLC,"516 Stedman Street, Ketchikan, AK",5034423665,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=77778 cbsa=Ketchikan, AK fcc_applicant_email=jaspas774@gmail.com",,FCC LMS 2026-04-23
KFPS,,88.1 FM,,False Pass,AK,,"Aleutian Peninsula Broadcasting, INC","SAND POINT, AK",9073835737,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=203577 fcc_applicant_email=gm@apradio.org,,FCC LMS 2026-04-23
KFQD,,750 AM,,Anchorage,AK,178,Alpha Media,"180 Post Road East, Suite 201, Westport, CT",2032271978,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,FCC svc=AM fac_id=52675 metro=Anchorage licensee=Alpha Media Licensee LLC fcc_applicant_email=dbevins@conncos.com,,FCC LMS 2026-04-23
KFSE,,106.9 FM,,Kasilof,AK,,"Ksrm, INC","40960 KALIFORNSKY BEACH RD, KENAI, AK",2026256241,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=78420 fcc_applicant_email=jcdavis@gci.net,,FCC LMS 2026-04-23
KFSK,,100.9 FM,,Petersburg,AK,,Narrows Broadcasting Corp,"404 North Second Street, PETERSBURG, AK",9077723808,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=47409 fcc_applicant_email=tom@kfsk.org,,FCC LMS 2026-04-23
KGAA,,91.3 FM,,Glennallen,AK,,Adventist Radio Alaska Corporation,"6100 O'Malley Road, Anchorage, AK",9073341004,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=765992 fcc_applicant_email=pastortobin@gmail.com,,FCC LMS 2026-04-23
KGOT,,101.3 FM,,Anchorage,AK,178,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=12515 metro=Anchorage licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KGSM,,,Religious/Christian,Saint Mary'S,AK,,"VisionAlaska, Inc., Alaska Brethren Ministries","38800 Robinson Loop Road, Sterling, AK",9078620336,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=754896 fcc_applicant_email=palmer@vfcm.org,,FCC LMS 2026-04-23
KGTL,,620 AM,,Homer,AK,,Peninsula Radio Group Inc,"PO Box 214, Homer, AK",9073788499,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=52152 fcc_applicant_email=michael@myalaskaradio.com,,FCC LMS 2026-04-23
KGTW,,106.7 FM,,Ketchikan,AK,,Media LTD,"3161 CHANNEL DRIVE, SUITE 202, JUNEAU, AK",,,,,,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=789 cbsa=Ketchikan, AK",,FCC LMS 2026-04-23
KGYA,,90.5 FM,,Grayling,AK,,Kuskokwim Public Broadcasting Corporation,"MCGRATH, AK",9075243001,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=190173 fcc_applicant_email=GM.KSKO@GMAIL.COM,,FCC LMS 2026-04-23
KHAR,,590 AM,,Anchorage,AK,178,Alpha Media,"180 Post Road East, Suite 201, Westport, CT",2032271978,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,FCC svc=AM fac_id=60914 metro=Anchorage licensee=Alpha Media Licensee LLC fcc_applicant_email=dbevins@conncos.com,,FCC LMS 2026-04-23
KHCX,,90.9 FM,,Homer,AK,,"Safe Harbor Broadcasting, INC","PO BOX 2446, HOMER, AK",9073041057,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=762152 fcc_applicant_email=safeharborbroadcasting@gmail.com,,FCC LMS 2026-04-23
KHGQ,,101.7 FM,Religious/Christian,Shungnak,AK,,Nome Seventh-day Adventist Church,"501 ROUND THE CLOCK, NOME, AK",9074435137,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=199471 fcc_applicant_email=ryan@woehler.us,,FCC LMS 2026-04-23
KHKY,,92.7 FM,College/Educational,Akiachak,AK,,Yupiit School District,"PO BOX 51101, Akiachak, AK",9078253600,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=198504 fcc_applicant_email=wwoodgate@yupiit.org,,FCC LMS 2026-04-23
KHNS,,102.3 FM,,Haines,AK,,Lynn Canal Broadcasting,"Haines, AK",9077662020,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=39331 fcc_applicant_email=gm@khns.org,,FCC LMS 2026-04-23
KHOO,,90.7 FM,College/Educational,Hoonah,AK,,Hoonah City School District,"366 GARTEENI HIGHWAY, HOONAH, AK",9079453611,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=174406 fcc_applicant_email=khoo@hoonahschools.org,,FCC LMS 2026-04-23
KHRS,,96.3 FM,Religious/Christian,Healy,AK,,"Voice FOR Christ Ministries, INC","NENANA, AK",9078325426,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=203334 fcc_applicant_email=mike@vfcm.org,,FCC LMS 2026-04-23
KHSK,,93.3 FM,,Emmonak,AK,,"Bethel Broadcasting, Inc","Bethel, AK",9075433131,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=758543 fcc_applicant_email=shane@kyuk.org,,FCC LMS 2026-04-23
KHUS,,98.1 FM,,Huslia,AK,,BIG River Public Broadcasting Corporation,"GALENA, AK",9076561488,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=178866 fcc_applicant_email=austin1985a@gmail.com,,FCC LMS 2026-04-23
KHUU,,97.1 FM,,Hughes,AK,,BIG River Public Broadcasting Corporation,"GALENA, AK",9076561488,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=199395 fcc_applicant_email=austin1985a@gmail.com,,FCC LMS 2026-04-23
KHYG-FM,,91.1 FM,College/Educational,Hydaburg,AK,,Hydaburg City School District,"HYDABURG, AK",9072853491,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=199223 fcc_applicant_email=BMWAREY@HYDABURG.K12.AK.US,,FCC LMS 2026-04-23
KIAK-FM,,102.5 FM,,Fairbanks,AK,,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=12517 cbsa=Fairbanks-College, AK licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KIAM,,630 AM,Religious/Christian,Nenana,AK,,"Voice FOR Christ Ministries, INC","PO BOX 474, NENANA, AK",9078325426,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=AM fac_id=70450 fcc_applicant_email=mike@vfcm.org,,FCC LMS 2026-04-23
KIAM-FM,,91.9 FM,Religious/Christian,Nenana,AK,,"Voice FOR Christ Ministries, INC","P.O. BOX 474, NENANA, AK",9075455118,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=174373 fcc_applicant_email=mike@vfcm.org,,FCC LMS 2026-04-23
KIAN,,91.9 FM,,Kiana,AK,,"Kotzebue Broadcasting, INC","KOTZEBUE, AK",9074423434,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=180910 fcc_applicant_email=gm@kotz.org,,FCC LMS 2026-04-23
KIAO,,90.3 FM,Religious/Christian,Delta Junction,AK,,Delta Junction Seventh-day Adventist Church,"DELTA JUNCTION, AK",9078951919,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=173632 cbsa=Fairbanks-College, AK fcc_applicant_email=kovalenko369@gmail.com",,FCC LMS 2026-04-23
KIBH-FM,,91.7 FM,,Seward,AK,178,"Kenai Mountains Public Media, INC","11447 SEWARD HWY, PO BOX 816, SEWARD, AK",9072224399,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=176521 cbsa_match=Anchorage, AK → Nielsen #178 fcc_applicant_email=907KMPM@GMAIL.COM",,FCC LMS 2026-04-23
KICY,,850 AM,,Nome,AK,,Arctic Broadcasting Assoc,"P. O. BOX 820, NOME, AK",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=2675,,FCC LMS 2026-04-23
KICY-FM,,100.3 FM,,Nome,AK,,"Arctic Broadcasting Association, INC","P. O. BOX 820, NOME, AK",9074432213,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=2677 fcc_applicant_email=generalmanager@kicy.org,,FCC LMS 2026-04-23
KIEA,,91.9 FM,,Selawik,AK,,"Kotzebue Broadcasting, INC","KOTZEBUE, AK",9074423434,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=180909 fcc_applicant_email=gm@kotz.org,,FCC LMS 2026-04-23
KIFW,,1230 AM,,Sitka,AK,,"Sitka Broadcasting Company, INC","3161 CHANNEL DR. SUITE 2, JUNEAU, AK",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=60516,,FCC LMS 2026-04-23
KIGG,,103.3 FM,College/Educational,Igiugig,AK,,Dillingham City School District,"DILLINGHAM, AK",9078425281,,,,PD — research via AllAccess,,"Monday,Tuesday,Wednesday,Thursday",14:00,17:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=199839 fcc_applicant_email=sam@kdlg.org,,FCC LMS 2026-04-23
